"","lon","lat"
"392",-76.4921829,38.9784453
"393",-76.4921829,38.9784453
"394",-85.2904938,35.048941
"395",-76.4921829,38.9784453
"396",-76.4921829,38.9784453
"397",-97.1383744,49.895136
"398",15.472962,49.817492
"399",-97.1383744,49.895136
"400",15.472962,49.817492
"401",-97.1383744,49.895136
"402",15.472962,49.817492
"403",-122.196825,47.6160275
"404",-99.133208,19.4326077
"405",-99.133208,19.4326077
"406",-84.2940899,34.0753762
"407",-85.6802541,40.1053196
"408",-84.2940899,34.0753762
"409",-85.6802541,40.1053196
"410",-84.2940899,34.0753762
"411",-85.6802541,40.1053196
"412",-84.2940899,34.0753762
"413",-85.6802541,40.1053196
"414",-71.0862923,42.3451195
"415",-80.1300455,25.790654
"416",-73.827356,40.9503764
"417",-71.0862923,42.3451195
"418",-80.1300455,25.790654
"419",-71.0862923,42.3451195
"420",-80.1300455,25.790654
"421",-71.0862923,42.3451195
"422",-76.2874927,36.7682088
"423",-76.6121893,39.2903848
"424",-76.2874927,36.7682088
"425",-90.4298401,38.7131073
"426",-94.5785667,39.0997265
"427",-115.7631232,40.8324211
"428",-87.6297982,41.8781136
"429",-73.7562317,42.6525793
"430",-87.663045,41.8810644
"431",-76.2874927,36.7682088
"432",-90.8529107,38.81144
"433",-77.0368707,38.9071923
"434",-80.264593,43.5549217
"435",-78.7811169,35.79154
"436",-95.712891,37.09024
"437",-97.7430608,30.267153
"438",-97.0403352,32.8998091
"439",-76.1474244,43.0481221
"440",-76.2874927,36.7682088
"441",-78.6381787,35.7795897
"442",-96.8236116,33.1506744
"443",-76.1474244,43.0481221
"444",-93.6091064,41.6005448
"445",-123.0220289,44.0462362
"446",-84.7530304,42.243097
"447",-90.1994042,38.6270025
"448",-74.0059728,40.7127753
"449",-91.8318334,37.9642529
"450",-76.1474244,43.0481221
"451",-97.0403352,32.8998091
"452",-119.4179324,36.778261
"453",-77.0368707,38.9071923
"454",-86.5263857,39.165325
"455",-76.1474244,43.0481221
"456",-80.782127,8.537981
"457",-76.1474244,43.0481221
"458",-77.0586844,38.8058665
"459",-79.9958864,40.4406248
"460",-110.926479,32.2217429
"461",-76.1474244,43.0481221
"462",-76.1474244,43.0481221
